; Date generated Fri Oct 22 16:44:17 2021
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
;  Applied 1-AU adjustment 0.985890
; 
;  Solar zenith angle (deg) 31.0500
; 
  6.360 5.623335e-05  0.095
  6.380 4.784039e-05  0.090
  6.400 4.200378e-05  0.104
  6.420 4.037557e-05  0.106
  6.440 3.590953e-05  0.105
  6.460 3.327007e-05  0.102
  6.480 3.496115e-05  0.100
  6.500 3.814387e-05  0.108
  6.520 4.457204e-05  0.104
  6.540 5.203554e-05  0.091
  6.560 5.519020e-05  0.086
  6.580 5.621872e-05  0.086
  6.600 5.357290e-05  0.087
  6.620 4.738792e-05  0.095
  6.640 4.648516e-05  0.098
  6.660 5.026206e-05  0.093
  6.680 5.447076e-05  0.089
  6.700 5.568948e-05  0.083
  6.720 5.096899e-05  0.083
  6.740 4.142274e-05  0.090
  6.760 3.179291e-05  0.096
  6.780 2.652572e-05  0.111
  6.800 2.607802e-05  0.103
  6.820 2.444622e-05  0.102
  6.840 2.488519e-05  0.093
  6.860 2.840940e-05  0.089
  6.880 3.795950e-05  0.091
  6.900 5.505771e-05  0.086
  6.920 7.474264e-05  0.082
  6.940 8.975771e-05  0.078
  6.960 9.203121e-05  0.079
  6.980 8.320638e-05  0.083
  7.000 6.835241e-05  0.085
  7.020 5.635627e-05  0.086
  7.040 4.995522e-05  0.083
  7.060 4.623519e-05  0.084
  7.080 4.268611e-05  0.085
  7.100 3.912099e-05  0.086
  7.120 3.858013e-05  0.087
  7.140 4.250998e-05  0.086
  7.160 5.209398e-05  0.085
  7.180 6.285819e-05  0.082
  7.200 6.855074e-05  0.084
  7.220 6.757958e-05  0.085
  7.240 6.210347e-05  0.086
  7.260 5.776979e-05  0.085
  7.280 5.299838e-05  0.083
  7.300 4.917761e-05  0.085
  7.320 4.691755e-05  0.084
  7.340 4.240388e-05  0.086
  7.360 3.703520e-05  0.084
  7.380 3.358538e-05  0.084
  7.400 3.273822e-05  0.082
  7.420 3.691538e-05  0.085
  7.440 4.466893e-05  0.086
  7.460 5.272342e-05  0.083
  7.480 5.638989e-05  0.083
  7.500 5.456740e-05  0.084
  7.520 5.044472e-05  0.083
  7.540 4.777476e-05  0.081
  7.560 4.836960e-05  0.082
  7.580 5.177442e-05  0.080
  7.600 5.318538e-05  0.080
  7.620 4.970546e-05  0.080
  7.640 4.443226e-05  0.084
  7.660 3.899820e-05  0.083
  7.680 3.540155e-05  0.085
  7.700 3.519637e-05  0.084
  7.720 3.805309e-05  0.084
  7.740 4.125830e-05  0.086
  7.760 4.341254e-05  0.086
  7.780 4.223974e-05  0.081
  7.800 3.838027e-05  0.082
  7.820 3.536236e-05  0.084
  7.840 3.389497e-05  0.083
  7.860 3.362225e-05  0.086
  7.880 3.354919e-05  0.085
  7.900 3.277735e-05  0.086
  7.920 3.184147e-05  0.087
  7.940 3.127172e-05  0.087
  7.960 3.058828e-05  0.085
  7.980 3.017180e-05  0.087
  8.000 3.112566e-05  0.087
  8.020 3.165921e-05  0.084
  8.040 3.199828e-05  0.085
  8.060 3.153530e-05  0.084
  8.080 3.094408e-05  0.084
  8.100 3.240431e-05  0.081
  8.120 3.586314e-05  0.082
  8.140 4.047352e-05  0.084
  8.160 4.554062e-05  0.085
  8.180 4.939888e-05  0.084
  8.200 5.302023e-05  0.085
  8.220 5.586194e-05  0.085
  8.240 5.744863e-05  0.084
  8.260 5.788568e-05  0.084
  8.280 5.655315e-05  0.084
  8.300 5.479881e-05  0.084
  8.320 5.424360e-05  0.085
  8.340 5.511616e-05  0.086
  8.360 5.694813e-05  0.087
  8.380 5.697257e-05  0.085
  8.400 5.467608e-05  0.084
  8.420 5.006827e-05  0.084
  8.440 4.510054e-05  0.083
  8.460 4.084869e-05  0.083
  8.480 3.769296e-05  0.085
  8.500 3.667210e-05  0.086
  8.520 3.638387e-05  0.087
  8.540 3.569582e-05  0.085
  8.560 3.370750e-05  0.085
  8.580 3.054103e-05  0.085
  8.600 2.762540e-05  0.087
  8.620 2.776202e-05  0.087
  8.640 3.144267e-05  0.087
  8.660 3.682243e-05  0.087
  8.680 4.099826e-05  0.086
  8.700 4.098215e-05  0.085
  8.720 3.733946e-05  0.085
  8.740 3.300076e-05  0.088
  8.760 3.024351e-05  0.087
  8.780 3.035603e-05  0.084
  8.800 3.212248e-05  0.084
  8.820 3.259675e-05  0.085
  8.840 3.214940e-05  0.086
  8.860 3.276420e-05  0.085
  8.880 3.444676e-05  0.087
  8.900 3.620596e-05  0.086
  8.920 3.646406e-05  0.085
  8.940 3.511074e-05  0.086
  8.960 3.279518e-05  0.088
  8.980 3.122953e-05  0.088
  9.000 3.089353e-05  0.087
  9.020 3.163781e-05  0.089
  9.040 3.234192e-05  0.088
  9.060 3.230695e-05  0.087
  9.080 3.153160e-05  0.085
  9.100 3.098202e-05  0.087
  9.120 3.166063e-05  0.087
  9.140 3.381740e-05  0.089
  9.160 3.689234e-05  0.088
  9.180 3.890276e-05  0.089
  9.200 3.844888e-05  0.089
  9.220 3.640645e-05  0.089
  9.240 3.355315e-05  0.088
  9.260 3.180889e-05  0.088
  9.280 3.061062e-05  0.089
  9.300 3.006825e-05  0.089
  9.320 3.045390e-05  0.090
  9.340 3.250458e-05  0.089
  9.360 3.618419e-05  0.090
  9.380 3.975995e-05  0.088
  9.400 4.123288e-05  0.088
  9.420 3.777587e-05  0.091
  9.440 3.091233e-05  0.095
  9.460 2.435733e-05  0.096
  9.480 2.111559e-05  0.092
  9.500 2.282137e-05  0.090
  9.520 2.850484e-05  0.091
  9.540 3.697387e-05  0.090
  9.560 4.500178e-05  0.089
  9.580 5.044684e-05  0.089
  9.600 5.263469e-05  0.089
  9.620 4.949891e-05  0.088
  9.640 4.311974e-05  0.090
  9.660 3.570047e-05  0.091
  9.680 2.964833e-05  0.092
  9.700 2.717633e-05  0.090
  9.720 2.742275e-05  0.089
  9.740 2.888254e-05  0.089
  9.760 3.133602e-05  0.089
  9.780 3.519860e-05  0.091
  9.800 3.873288e-05  0.090
  9.820 4.054113e-05  0.089
  9.840 3.818826e-05  0.091
  9.860 3.228923e-05  0.092
  9.880 2.531409e-05  0.095
  9.900 2.019057e-05  0.097
  9.920 1.818580e-05  0.093
  9.940 1.872887e-05  0.092
  9.960 2.021374e-05  0.091
  9.980 2.245074e-05  0.092
 10.000 2.532673e-05  0.093
 10.020 2.898868e-05  0.091
 10.040 3.257215e-05  0.090
 10.060 3.522419e-05  0.089
 10.080 3.447872e-05  0.089
 10.100 3.165345e-05  0.090
 10.120 2.795001e-05  0.092
 10.140 2.500592e-05  0.091
 10.160 2.465190e-05  0.088
 10.180 2.566706e-05  0.090
 10.200 2.727056e-05  0.092
 10.220 2.865003e-05  0.092
 10.240 2.946892e-05  0.091
 10.260 3.069314e-05  0.093
 10.280 3.270675e-05  0.093
 10.300 3.657543e-05  0.094
 10.320 4.113814e-05  0.094
 10.340 4.502801e-05  0.092
 10.360 4.671463e-05  0.092
 10.380 4.433403e-05  0.092
 10.400 3.859825e-05  0.093
 10.420 3.134349e-05  0.094
 10.440 2.494578e-05  0.093
 10.460 2.234118e-05  0.092
 10.480 2.345365e-05  0.092
 10.500 2.593769e-05  0.094
 10.520 2.776076e-05  0.093
 10.540 2.716580e-05  0.094
 10.560 2.418969e-05  0.095
 10.580 2.066259e-05  0.096
 10.600 1.828730e-05  0.097
 10.620 1.762352e-05  0.096
 10.640 1.747041e-05  0.096
 10.660 1.672962e-05  0.096
 10.680 1.555171e-05  0.094
 10.700 1.402126e-05  0.096
 10.720 1.299147e-05  0.096
 10.740 1.272491e-05  0.096
 10.760 1.329872e-05  0.096
 10.780 1.443095e-05  0.095
 10.800 1.601444e-05  0.097
 10.820 1.750200e-05  0.099
 10.840 1.825262e-05  0.095
 10.860 1.823467e-05  0.092
 10.880 1.730450e-05  0.094
 10.900 1.608133e-05  0.095
 10.920 1.450714e-05  0.096
 10.940 1.298552e-05  0.098
 10.960 1.166954e-05  0.095
 10.980 1.062441e-05  0.098
 11.000 9.921034e-06  0.101
 11.020 9.600114e-06  0.102
 11.040 9.818899e-06  0.098
 11.060 1.130616e-05  0.101
 11.080 1.458393e-05  0.101
 11.100 1.905069e-05  0.101
 11.120 2.340982e-05  0.098
 11.140 2.599424e-05  0.097
 11.160 2.641486e-05  0.098
 11.180 2.482155e-05  0.098
 11.200 2.213170e-05  0.097
 11.220 1.948456e-05  0.098
 11.240 1.726488e-05  0.098
 11.260 1.488614e-05  0.098
 11.280 1.315398e-05  0.096
 11.300 1.272533e-05  0.096
 11.320 1.400766e-05  0.097
 11.340 1.686465e-05  0.100
 11.360 2.061057e-05  0.101
 11.380 2.409342e-05  0.099
 11.400 2.547243e-05  0.097
 11.420 2.432068e-05  0.096
 11.440 2.101671e-05  0.098
 11.460 1.729740e-05  0.099
 11.480 1.486432e-05  0.100
 11.500 1.424289e-05  0.099
 11.520 1.500194e-05  0.099
 11.540 1.638685e-05  0.097
 11.560 1.793614e-05  0.096
 11.580 1.912845e-05  0.097
 11.600 1.999566e-05  0.098
 11.620 2.117413e-05  0.100
 11.640 2.262170e-05  0.098
 11.660 2.419531e-05  0.096
 11.680 2.515696e-05  0.097
 11.700 2.489856e-05  0.099
 11.720 2.288020e-05  0.099
 11.740 1.983638e-05  0.099
 11.760 1.685279e-05  0.101
 11.780 1.445009e-05  0.102
 11.800 1.262108e-05  0.103
 11.820 1.135713e-05  0.100
 11.840 1.065986e-05  0.099
 11.860 1.072093e-05  0.103
 11.880 1.161875e-05  0.104
 11.900 1.228316e-05  0.107
 11.920 1.226261e-05  0.103
 11.940 1.188918e-05  0.097
 11.960 1.100502e-05  0.101
 11.980 1.019270e-05  0.103
 12.000 9.921250e-06  0.101
 12.020 1.018894e-05  0.100
 12.040 1.053257e-05  0.104
 12.060 1.072696e-05  0.110
 12.080 1.084690e-05  0.107
 12.100 1.115717e-05  0.104
 12.120 1.136402e-05  0.102
 12.140 1.147349e-05  0.102
 12.160 1.137942e-05  0.104
 12.180 1.116417e-05  0.103
 12.200 1.121295e-05  0.105
 12.220 1.183258e-05  0.103
 12.240 1.285250e-05  0.098
 12.260 1.396275e-05  0.100
 12.280 1.425067e-05  0.102
 12.300 1.408791e-05  0.100
 12.320 1.391208e-05  0.102
 12.340 1.386384e-05  0.104
 12.360 1.353983e-05  0.104
 12.380 1.254114e-05  0.104
 12.400 1.059602e-05  0.106
 12.420 8.947698e-06  0.107
 12.440 7.936759e-06  0.107
 12.460 7.651718e-06  0.106
 12.480 7.570589e-06  0.104
 12.500 7.345526e-06  0.105
 12.520 7.050509e-06  0.106
 12.540 6.704461e-06  0.106
 12.560 6.259530e-06  0.111
 12.580 5.822159e-06  0.112
 12.600 5.364468e-06  0.112
 12.620 5.131468e-06  0.110
 12.640 5.192803e-06  0.113
