; UNCLASSIFIED PASS 1, T-ZERO = 62700.3100, AZFIRE =  14.300 DEG T/N, 09SEP21, 36.353 WOODS L738,
;                     TYPE 1 RECORD DATA WORDS AND UNITS
;               WORD 1		ELAPSED TIME FROM LAUNCH        MILLISECONDS
;               WORD 2		X SMOOTHED (XS)                 CENTIMETERS
;               WORD 3		Y SMOOTHED (XS)	                CENTIMETERS
;               WORD 4		Z SMOOTHED (XS)	                CENTIMETERS
;               WORD 5		SLANT RANGE FROM RADAR          CENTIMETERS
;               WORD 6		AZIMUTH FROM RADAR	        10-7 RADIANS
;               WORD 7	        ELEVATION FROM RADAR	        10-7 RADIANS
;               WORD 8		GEODETIC LATITUDE	        10-7 RADIANS
;               WORD 9		WEST LONGITUDE	                10-7 RADIANS
;               WORD 10		HEIGHT ABOVE MEAN SEA LEVEL     CENTIMETERS
;
17020 lines:  NASA 36.353 Radar data for Sept 9 launch at 17:25:00 UT
10 columns:  See header for definitions of data
      11150.    31625.   -10748.   441817. 10139139.-29503526.   343396.  5658506. 18556300.   564998.
      11200.    31784.   -10732.   444347. 10139109.-29503552.   345896.  5658509. 18556300.   567528.
      11250.    31943.   -10717.   446871. 10139080.-29503576.   348390.  5658511. 18556298.   570052.
      11300.    32100.   -10703.   449390. 10139052.-29503598.   350878.  5658514. 18556296.   572571.
      11350.    32258.   -10692.   451903. 10139023.-29503620.   353362.  5658516. 18556296.   575084.
      11400.    32415.   -10682.   454411. 10138997.-29503638.   355840.  5658518. 18556296.   577592.
      11450.    32570.   -10675.   456913. 10138971.-29503654.   358313.  5658520. 18556294.   580094.
      11500.    32727.   -10670.   459410. 10138945.-29503670.   360780.  5658523. 18556294.   582591.
      11550.    32882.   -10667.   461901. 10138919.-29503682.   363242.  5658524. 18556292.   585082.
      11600.    33037.   -10666.   464386. 10138896.-29503692.   365697.  5658528. 18556292.   587567.
      11650.    33190.   -10667.   466863. 10138874.-29503698.   368145.  5658530. 18556290.   590044.
      11700.    33343.   -10672.   469332. 10138851.-29503706.   370584.  5658532. 18556290.   592513.
      11750.    33496.   -10678.   471791. 10138830.-29503708.   373014.  5658534. 18556290.   594972.
      11800.    33647.   -10688.   474239. 10138809.-29503708.   375433.  5658536. 18556290.   597420.
      11850.    33798.   -10699.   476675. 10138789.-29503706.   377840.  5658539. 18556290.   599856.
      11900.    33947.   -10714.   479097. 10138770.-29503698.   380234.  5658542. 18556288.   602278.
      11950.    34097.   -10732.   481505. 10138750.-29503692.   382613.  5658544. 18556288.   604686.
      12000.    34246.   -10754.   483897. 10138729.-29503674.   384977.  5658546. 18556288.   607078.
      12050.    34395.   -10779.   486272. 10138709.-29503662.   387325.  5658548. 18556288.   609454.
      12100.    34542.   -10809.   488631. 10138689.-29503642.   389656.  5658551. 18556288.   611812.
      12150.    34690.   -10843.   490971. 10138670.-29503618.   391969.  5658553. 18556288.   614152.
      12200.    34834.   -10881.   493293. 10138652.-29503584.   394264.  5658556. 18556288.   616475.
      12250.    34977.   -10925.   495598. 10138635.-29503552.   396541.  5658558. 18556288.   618779.
      12300.    35119.   -10972.   497886. 10138618.-29503514.   398803.  5658560. 18556288.   621068.
      12350.    35261.   -11026.   500158. 10138600.-29503470.   401048.  5658563. 18556288.   623340.
      12400.    35404.   -11084.   502415. 10138580.-29503422.   403279.  5658564. 18556288.   625597.
      12450.    35545.   -11146.   504657. 10138562.-29503370.   405494.  5658568. 18556290.   627838.
      12500.    35686.   -11214.   506883. 10138545.-29503310.   407695.  5658570. 18556290.   630065.
      12550.    35825.   -11286.   509094. 10138527.-29503248.   409880.  5658572. 18556290.   632276.
      12600.    35962.   -11362.   511290. 10138511.-29503180.   412050.  5658574. 18556290.   634472.
      12650.    36100.   -11444.   513471. 10138494.-29503108.   414206.  5658576. 18556292.   636653.
      12700.    36238.   -11531.   515638. 10138476.-29503030.   416348.  5658580. 18556292.   638820.
      12750.    36374.   -11622.   517792. 10138459.-29502948.   418477.  5658582. 18556294.   640973.
      12800.    36509.   -11717.   519935. 10138442.-29502864.   420595.  5658584. 18556296.   643116.
      12850.    36644.   -11818.   522069. 10138427.-29502774.   422705.  5658586. 18556296.   645251.
      12900.    36777.   -11922.   524199. 10138412.-29502678.   424810.  5658590. 18556298.   647381.
      12950.    36909.   -12032.   526326. 10138398.-29502578.   426912.  5658592. 18556300.   649508.
      13000.    37041.   -12146.   528451. 10138384.-29502472.   429013.  5658594. 18556300.   651633.
      13050.    37172.   -12263.   530576. 10138372.-29502366.   431113.  5658597. 18556302.   653757.
      13100.    37303.   -12385.   532699. 10138359.-29502254.   433211.  5658598. 18556302.   655880.
      13150.    37435.   -12510.   534822. 10138348.-29502140.   435309.  5658602. 18556304.   658003.
      13200.    37564.   -12635.   536944. 10138336.-29502022.   437407.  5658604. 18556308.   660125.
      13250.    37694.   -12760.   539066. 10138327.-29501908.   439505.  5658606. 18556308.   662248.
      13300.    37824.   -12886.   541188. 10138318.-29501792.   441602.  5658608. 18556310.   664370.
      13350.    37953.   -13011.   543311. 10138309.-29501676.   443700.  5658612. 18556312.   666492.
      13400.    38084.   -13136.   545433. 10138298.-29501558.   445798.  5658614. 18556314.   668615.
      13450.    38214.   -13261.   547556. 10138291.-29501446.   447896.  5658616. 18556314.   670737.
      13500.    38342.   -13385.   549678. 10138284.-29501330.   449994.  5658619. 18556316.   672860.
      13550.    38471.   -13508.   551801. 10138279.-29501216.   452092.  5658621. 18556318.   674982.
      13600.    38599.   -13630.   553924. 10138275.-29501102.   454190.  5658624. 18556320.   677106.
      13650.    38728.   -13751.   556047. 10138270.-29500990.   456289.  5658626. 18556322.   679228.
      13700.    38858.   -13871.   558170. 10138262.-29500882.   458387.  5658629. 18556324.   681352.
      13750.    38986.   -13989.   560294. 10138261.-29500772.   460486.  5658630. 18556324.   683475.
      13800.    39116.   -14106.   562418. 10138255.-29500666.   462585.  5658633. 18556326.   685600.
      13850.    39245.   -14221.   564542. 10138253.-29500558.   464685.  5658636. 18556326.   687724.
      13900.    39374.   -14335.   566667. 10138250.-29500456.   466785.  5658638. 18556330.   689849.
      13950.    39503.   -14447.   568792. 10138247.-29500350.   468886.  5658641. 18556330.   691974.
